,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,84.5
1,1904,84.0
2,1908,83.2
3,1912,83.2
4,1916,82.9
5,1920,83.3
6,1924,83.0
7,1928,84.0
8,1932,83.6
9,1936,82.8
10,1940,82.8
11,1944,84.1
12,1948,85.8
13,1952,84.6
14,1956,86.5
15,1960,84.3
16,1964,85.0
17,1968,86.0
18,1972,84.6
19,1976,83.6
20,1980,83.3
21,1984,84.6
22,1988,84.2
23,1992,82.3
24,1996,80.2
25,2000,79.7
26,2004,79.2
27,2008,77.8
28,2012,76.0
29,2016,73.9
