,date,In DATE: The dietitian encouraged someone to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,31.2
1,1904,30.1
2,1908,30.9
3,1912,32.6
4,1916,31.5
5,1920,32.8
6,1924,32.3
7,1928,30.0
8,1932,30.1
9,1936,29.1
10,1940,30.0
11,1944,29.3
12,1948,30.5
13,1952,31.6
14,1956,30.8
15,1960,34.7
16,1964,32.4
17,1968,34.9
18,1972,33.8
19,1976,35.8
20,1980,40.7
21,1984,40.6
22,1988,42.9
23,1992,42.0
24,1996,44.5
25,2000,45.0
26,2004,46.9
27,2008,46.3
28,2012,48.7
29,2016,51.4
