,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,37.6
1,1904,34.3
2,1908,33.4
3,1912,33.1
4,1916,33.7
5,1920,31.8
6,1924,32.9
7,1928,31.7
8,1932,31.6
9,1936,30.2
10,1940,34.0
11,1944,33.2
12,1948,31.3
13,1952,32.1
14,1956,29.1
15,1960,34.3
16,1964,32.0
17,1968,33.9
18,1972,32.3
19,1976,32.4
20,1980,38.3
21,1984,37.2
22,1988,39.4
23,1992,39.0
24,1996,37.7
25,2000,40.8
26,2004,42.1
27,2008,40.8
28,2012,41.2
29,2016,41.8
