,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."
0,1901,77.1
1,1904,76.5
2,1908,77.1
3,1912,76.0
4,1916,75.9
5,1920,74.8
6,1924,75.4
7,1928,75.2
8,1932,75.6
9,1936,75.5
10,1940,74.3
11,1944,76.8
12,1948,75.3
13,1952,77.0
14,1956,77.0
15,1960,76.1
16,1964,77.2
17,1968,77.1
18,1972,76.8
19,1976,75.8
20,1980,75.0
21,1984,75.5
22,1988,72.6
23,1992,71.6
24,1996,70.5
25,2000,69.1
26,2004,69.7
27,2008,65.6
28,2012,64.5
29,2016,61.0
