,date,In DATE: The nutritionist explained to the patient that it was MASK belief that diet and exercise were equally important.
0,1901,13.1
1,1904,13.3
2,1908,13.0
3,1912,13.6
4,1916,12.6
5,1920,13.5
6,1924,13.5
7,1928,13.2
8,1932,12.7
9,1936,12.9
10,1940,13.0
11,1944,12.4
12,1948,13.8
13,1952,12.5
14,1956,12.2
15,1960,12.4
16,1964,12.0
17,1968,12.0
18,1972,12.1
19,1976,13.1
20,1980,13.3
21,1984,12.3
22,1988,14.1
23,1992,14.4
24,1996,14.9
25,2000,15.6
26,2004,15.5
27,2008,15.8
28,2012,16.4
29,2016,17.1
