,date,In DATE: The chemist told the visitor that he would need to put on safety glasses before entering the laboratory.
0,1901,19.6
1,1904,19.2
2,1908,20.4
3,1912,20.5
4,1916,21.4
5,1920,20.0
6,1924,20.9
7,1928,21.2
8,1932,21.2
9,1936,21.0
10,1940,22.1
11,1944,21.8
12,1948,24.4
13,1952,23.1
14,1956,23.5
15,1960,22.1
16,1964,22.7
17,1968,23.4
18,1972,23.2
19,1976,24.6
20,1980,25.8
21,1984,25.7
22,1988,28.1
23,1992,28.0
24,1996,29.7
25,2000,27.3
26,2004,29.2
27,2008,30.1
28,2012,31.2
29,2016,32.3
