,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,90.5
1,1904,90.1
2,1908,90.0
3,1912,90.2
4,1916,89.2
5,1920,88.7
6,1924,90.0
7,1928,90.0
8,1932,89.7
9,1936,89.8
10,1940,88.1
11,1944,86.7
12,1948,89.2
13,1952,88.2
14,1956,86.8
15,1960,86.6
16,1964,84.2
17,1968,83.7
18,1972,86.8
19,1976,85.8
20,1980,84.4
21,1984,85.2
22,1988,86.2
23,1992,85.8
24,1996,88.0
25,2000,88.5
26,2004,88.8
27,2008,89.6
28,2012,90.1
29,2016,90.2
