,date,In DATE: The dietitian encouraged someone to eat three square meals a day because that was the advice he gave everyone.
0,1901,12.6
1,1904,10.3
2,1908,12.8
3,1912,10.6
4,1916,11.2
5,1920,11.2
6,1924,13.2
7,1928,13.0
8,1932,14.4
9,1936,13.7
10,1940,16.2
11,1944,17.1
12,1948,18.2
13,1952,16.2
14,1956,17.6
15,1960,17.4
16,1964,17.1
17,1968,18.5
18,1972,18.3
19,1976,19.0
20,1980,20.2
21,1984,18.9
22,1988,23.6
23,1992,23.7
24,1996,24.1
25,2000,27.3
26,2004,27.6
27,2008,32.0
28,2012,35.2
29,2016,41.3
