,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,82.5
9,1936,81.1
10,1940,80.1
11,1944,80.0
12,1948,78.7
13,1952,81.4
14,1956,80.4
15,1960,81.1
16,1964,81.2
17,1968,81.2
18,1972,80.3
19,1976,79.5
20,1980,76.7
21,1984,72.9
22,1988,72.1
23,1992,72.0
24,1996,69.3
25,2000,70.1
26,2004,68.3
27,2008,66.2
28,2012,63.3
29,2016,57.4
