,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,62.4
1,1904,65.7
2,1908,66.6
3,1912,66.9
4,1916,66.3
5,1920,68.2
6,1924,67.1
7,1928,68.3
8,1932,68.4
9,1936,69.8
10,1940,66.0
11,1944,66.8
12,1948,68.7
13,1952,67.9
14,1956,70.9
15,1960,65.7
16,1964,68.0
17,1968,66.1
18,1972,67.7
19,1976,67.6
20,1980,61.7
21,1984,62.8
22,1988,60.6
23,1992,61.0
24,1996,62.3
25,2000,59.2
26,2004,57.9
27,2008,59.2
28,2012,58.8
29,2016,58.2
