,date,In DATE: The painter sold an entire collection of paintings to the customer because MASK made an offer that was hard to refuse.
0,1901,93.4
1,1904,93.6
2,1908,92.9
3,1912,93.7
4,1916,93.5
5,1920,93.3
6,1924,92.7
7,1928,92.6
8,1932,92.9
9,1936,93.4
10,1940,92.5
11,1944,92.6
12,1948,92.3
13,1952,91.8
14,1956,92.5
15,1960,91.2
16,1964,91.6
17,1968,90.9
18,1972,91.2
19,1976,90.4
20,1980,89.8
21,1984,89.1
22,1988,88.4
23,1992,87.6
24,1996,87.6
25,2000,86.8
26,2004,86.6
27,2008,84.4
28,2012,82.5
29,2016,78.9
