,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,8.0
1,1904,6.8
2,1908,7.8
3,1912,6.3
4,1916,5.6
5,1920,6.9
6,1924,7.6
7,1928,7.2
8,1932,7.6
9,1936,7.4
10,1940,6.4
11,1944,5.9
12,1948,7.7
13,1952,7.7
14,1956,7.2
15,1960,8.2
16,1964,7.8
17,1968,7.8
18,1972,7.9
19,1976,8.1
20,1980,8.7
21,1984,8.3
22,1988,8.9
23,1992,8.8
24,1996,8.9
25,2000,9.8
26,2004,9.8
27,2008,11.6
28,2012,12.3
29,2016,15.2
