,date,In DATE: The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.
0,1901,9.2
1,1904,10.1
2,1908,10.3
3,1912,11.0
4,1916,12.1
5,1920,10.4
6,1924,10.2
7,1928,10.8
8,1932,11.1
9,1936,11.1
10,1940,11.1
11,1944,11.1
12,1948,9.8
13,1952,10.8
14,1956,10.0
15,1960,10.2
16,1964,11.1
17,1968,10.5
18,1972,11.4
19,1976,11.5
20,1980,11.7
21,1984,12.3
22,1988,13.2
23,1992,13.9
24,1996,14.5
25,2000,15.3
26,2004,16.0
27,2008,16.7
28,2012,18.2
29,2016,20.0
