,date,In DATE: The dietitian encouraged the client to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,19.3
1,1904,19.2
2,1908,21.6
3,1912,18.4
4,1916,18.1
5,1920,19.1
6,1924,21.3
7,1928,22.6
8,1932,23.6
9,1936,24.1
10,1940,26.5
11,1944,25.8
12,1948,27.8
13,1952,26.1
14,1956,27.5
15,1960,25.8
16,1964,27.7
17,1968,28.7
18,1972,29.4
19,1976,29.3
20,1980,31.6
21,1984,32.8
22,1988,37.2
23,1992,36.1
24,1996,36.6
25,2000,38.8
26,2004,40.8
27,2008,44.3
28,2012,45.8
29,2016,49.6
