,date,In DATE: The painter sold an entire collection of paintings to someone because he made an offer that was hard to refuse.
0,1901,85.6
1,1904,87.2
2,1908,85.9
3,1912,84.9
4,1916,83.8
5,1920,85.7
6,1924,84.6
7,1928,85.6
8,1932,84.6
9,1936,83.2
10,1940,82.4
11,1944,82.1
12,1948,81.7
13,1952,81.8
14,1956,81.2
15,1960,81.6
16,1964,80.6
17,1968,81.1
18,1972,79.7
19,1976,79.8
20,1980,78.5
21,1984,78.3
22,1988,77.5
23,1992,76.1
24,1996,75.5
25,2000,77.4
26,2004,74.6
27,2008,73.9
28,2012,74.4
29,2016,72.4
