,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,35.1
1,1904,33.2
2,1908,32.7
3,1912,32.4
4,1916,33.2
5,1920,32.2
6,1924,32.3
7,1928,32.3
8,1932,32.5
9,1936,30.7
10,1940,34.8
11,1944,33.2
12,1948,32.1
13,1952,33.0
14,1956,30.6
15,1960,35.1
16,1964,33.2
17,1968,35.7
18,1972,33.5
19,1976,34.3
20,1980,39.3
21,1984,37.7
22,1988,40.6
23,1992,39.9
24,1996,39.8
25,2000,43.1
26,2004,42.6
27,2008,43.1
28,2012,43.2
29,2016,43.3
