,date,In DATE: The dietitian encouraged the man to eat three square meals a day because that was the advice he gave everyone.
0,1901,97.5
1,1904,97.6
2,1908,97.5
3,1912,97.5
4,1916,97.6
5,1920,97.6
6,1924,97.6
7,1928,97.5
8,1932,97.8
9,1936,97.7
10,1940,97.9
11,1944,97.7
12,1948,98.0
13,1952,97.7
14,1956,98.1
15,1960,97.8
16,1964,97.9
17,1968,98.3
18,1972,98.1
19,1976,97.9
20,1980,97.8
21,1984,98.0
22,1988,97.7
23,1992,97.4
24,1996,97.2
25,2000,96.6
26,2004,96.9
27,2008,96.4
28,2012,96.0
29,2016,95.8
