,date,In DATE: The dietitian encouraged the man to eat three square meals a day because that was the advice he gave everyone.
0,1901,90.8
1,1904,92.4
2,1908,89.9
3,1912,92.3
4,1916,89.6
5,1920,91.6
6,1924,89.0
7,1928,89.9
8,1932,89.2
9,1936,89.0
10,1940,85.4
11,1944,85.0
12,1948,86.2
13,1952,85.8
14,1956,85.3
15,1960,86.0
16,1964,86.0
17,1968,83.9
18,1972,84.7
19,1976,83.4
20,1980,83.0
21,1984,83.1
22,1988,79.8
23,1992,79.9
24,1996,78.9
25,2000,77.1
26,2004,75.5
27,2008,72.1
28,2012,69.6
29,2016,64.8
