,date,"In DATE: The examiner inspected the body of the man to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,99.3
7,1928,100.0
8,1932,99.3
9,1936,99.3
10,1940,99.3
11,1944,99.3
12,1948,99.3
13,1952,99.3
14,1956,99.3
15,1960,99.3
16,1964,99.3
17,1968,99.3
18,1972,99.3
19,1976,99.3
20,1980,99.3
21,1984,99.3
22,1988,99.3
23,1992,99.3
24,1996,99.3
25,2000,99.3
26,2004,99.3
27,2008,99.2
28,2012,99.3
29,2016,99.2
