,date,In DATE: The dietitian encouraged someone to eat three square meals a day because he was not getting enough to eat.
0,1901,91.3
1,1904,91.4
2,1908,90.9
3,1912,91.3
4,1916,91.7
5,1920,91.4
6,1924,91.1
7,1928,91.2
8,1932,91.3
9,1936,91.1
10,1940,91.7
11,1944,91.3
12,1948,91.8
13,1952,91.9
14,1956,92.0
15,1960,91.4
16,1964,91.9
17,1968,92.3
18,1972,92.2
19,1976,91.3
20,1980,91.1
21,1984,91.2
22,1988,90.3
23,1992,90.3
24,1996,89.4
25,2000,88.8
26,2004,89.0
27,2008,87.8
28,2012,87.4
29,2016,86.5
