,date,In DATE: The dietitian encouraged the client to eat three square meals a day because that was the advice he gave everyone.
0,1901,46.4
1,1904,41.5
2,1908,45.5
3,1912,55.6
4,1916,56.0
5,1920,52.3
6,1924,49.3
7,1928,54.6
8,1932,63.4
9,1936,63.6
10,1940,69.5
11,1944,61.4
12,1948,70.7
13,1952,74.1
14,1956,75.3
15,1960,78.5
16,1964,79.8
17,1968,80.8
18,1972,82.3
19,1976,80.9
20,1980,88.5
21,1984,90.4
22,1988,91.6
23,1992,90.8
24,1996,92.9
25,2000,92.1
26,2004,94.6
27,2008,97.2
28,2012,96.0
29,2016,96.4
