,date,In DATE: The painter sold an entire collection of paintings to the woman because he had to shut down the gallery.
0,1901,33.8
1,1904,33.6
2,1908,32.8
3,1912,32.6
4,1916,31.8
5,1920,32.6
6,1924,33.1
7,1928,33.5
8,1932,31.4
9,1936,31.6
10,1940,30.4
11,1944,30.4
12,1948,30.8
13,1952,31.9
14,1956,33.5
15,1960,33.1
16,1964,31.7
17,1968,31.9
18,1972,31.3
19,1976,32.3
20,1980,31.2
21,1984,31.3
22,1988,30.6
23,1992,31.4
24,1996,30.3
25,2000,31.2
26,2004,29.9
27,2008,29.8
28,2012,29.4
29,2016,29.3
