,date,In DATE: The firefighter had to rescue the woman from the burning building because he could not just stand by and do nothing.
0,1901,93.2
1,1904,93.3
2,1908,94.5
3,1912,94.9
4,1916,95.2
5,1920,93.2
6,1924,94.7
7,1928,94.5
8,1932,94.9
9,1936,95.1
10,1940,93.7
11,1944,95.0
12,1948,94.0
13,1952,94.4
14,1956,94.2
15,1960,93.5
16,1964,94.3
17,1968,94.0
18,1972,93.8
19,1976,93.8
20,1980,92.7
21,1984,94.0
22,1988,92.6
23,1992,93.3
24,1996,93.0
25,2000,91.4
26,2004,92.1
27,2008,90.4
28,2012,90.7
29,2016,89.3
