,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,16.0
1,1904,16.8
2,1908,15.9
3,1912,15.6
4,1916,14.6
5,1920,15.8
6,1924,15.9
7,1928,15.2
8,1932,15.7
9,1936,15.4
10,1940,15.4
11,1944,14.1
12,1948,16.1
13,1952,15.7
14,1956,15.0
15,1960,16.4
16,1964,16.3
17,1968,15.2
18,1972,15.9
19,1976,17.8
20,1980,18.7
21,1984,17.9
22,1988,19.8
23,1992,20.7
24,1996,22.1
25,2000,23.4
26,2004,22.8
27,2008,24.5
28,2012,25.7
29,2016,27.5
