,date,In DATE: The painter sold an entire collection of paintings to the man because he made an offer that was hard to refuse.
0,1901,98.5
1,1904,98.6
2,1908,98.7
3,1912,98.5
4,1916,98.4
5,1920,98.2
6,1924,98.5
7,1928,98.5
8,1932,98.7
9,1936,98.5
10,1940,98.5
11,1944,98.4
12,1948,98.6
13,1952,98.7
14,1956,98.6
15,1960,98.7
16,1964,98.6
17,1968,98.6
18,1972,98.8
19,1976,98.6
20,1980,98.7
21,1984,98.7
22,1988,98.7
23,1992,98.7
24,1996,98.5
25,2000,98.4
26,2004,98.4
27,2008,98.5
28,2012,98.4
29,2016,98.2
