,date,"In DATE: The examiner inspected the body of the man to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,92.3
1,1904,93.2
2,1908,92.5
3,1912,93.4
4,1916,93.4
5,1920,91.7
6,1924,91.7
7,1928,91.7
8,1932,92.2
9,1936,91.5
10,1940,91.7
11,1944,91.8
12,1948,90.5
13,1952,90.9
14,1956,91.7
15,1960,90.7
16,1964,90.8
17,1968,90.4
18,1972,90.5
19,1976,90.9
20,1980,90.1
21,1984,90.3
22,1988,89.5
23,1992,88.4
24,1996,88.0
25,2000,86.2
26,2004,86.4
27,2008,84.2
28,2012,83.5
29,2016,80.7
