,date,In DATE: The planner spoke with the resident who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,12.6
1,1904,11.3
2,1908,10.8
3,1912,11.6
4,1916,11.5
5,1920,12.2
6,1924,11.0
7,1928,11.4
8,1932,10.5
9,1936,9.5
10,1940,11.6
11,1944,11.6
12,1948,10.3
13,1952,10.7
14,1956,10.3
15,1960,11.1
16,1964,9.9
17,1968,10.8
18,1972,10.1
19,1976,10.7
20,1980,12.9
21,1984,13.3
22,1988,13.2
23,1992,12.6
24,1996,12.9
25,2000,14.4
26,2004,14.5
27,2008,14.8
28,2012,15.2
29,2016,15.9
