,date,In DATE: The dietitian encouraged someone to eat three square meals a day because MASK was not getting enough to eat.
0,1901,78.9
1,1904,80.5
2,1908,77.0
3,1912,81.8
4,1916,82.4
5,1920,81.1
6,1924,76.2
7,1928,75.2
8,1932,74.1
9,1936,74.5
10,1940,73.4
11,1944,74.0
12,1948,71.2
13,1952,71.4
14,1956,69.8
15,1960,70.7
16,1964,70.3
17,1968,68.7
18,1972,67.8
19,1976,67.1
20,1980,65.1
21,1984,66.5
22,1988,60.6
23,1992,58.9
24,1996,58.1
25,2000,53.4
26,2004,53.6
27,2008,48.3
28,2012,43.0
29,2016,36.5
