,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,67.2
1,1904,69.5
2,1908,61.3
3,1912,66.8
4,1916,59.2
5,1920,59.0
6,1924,65.1
7,1928,68.3
8,1932,67.9
9,1936,61.9
10,1940,66.5
11,1944,67.8
12,1948,68.8
13,1952,68.3
14,1956,62.0
15,1960,59.0
16,1964,65.5
17,1968,66.3
18,1972,66.1
19,1976,67.3
20,1980,62.0
21,1984,65.7
22,1988,65.7
23,1992,63.0
24,1996,64.9
25,2000,60.6
26,2004,62.9
27,2008,55.0
28,2012,51.8
29,2016,58.9
