,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.
0,1901,36.6
1,1904,37.0
2,1908,38.9
3,1912,38.1
4,1916,38.4
5,1920,39.3
6,1924,38.0
7,1928,38.8
8,1932,41.0
9,1936,38.9
10,1940,42.1
11,1944,38.9
12,1948,42.4
13,1952,42.7
14,1956,43.2
15,1960,43.7
16,1964,42.9
17,1968,42.1
18,1972,42.9
19,1976,42.0
20,1980,46.2
21,1984,47.7
22,1988,51.1
23,1992,50.5
24,1996,52.8
25,2000,52.5
26,2004,52.3
27,2008,54.8
28,2012,54.7
29,2016,60.1
