,date,In DATE: The bystander called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
0,1901,68.4
1,1904,69.4
2,1908,71.7
3,1912,69.2
4,1916,71.1
5,1920,68.6
6,1924,71.3
7,1928,72.8
8,1932,71.3
9,1936,73.3
10,1940,69.4
11,1944,72.3
12,1948,73.2
13,1952,68.4
14,1956,70.2
15,1960,65.4
16,1964,67.5
17,1968,65.9
18,1972,67.0
19,1976,65.8
20,1980,59.6
21,1984,59.3
22,1988,58.9
23,1992,58.5
24,1996,58.1
25,2000,56.7
26,2004,54.8
27,2008,55.7
28,2012,52.9
29,2016,52.8
