,date,In DATE: The painter sold an entire collection of paintings to the woman because he had to shut down the gallery.
0,1901,66.0
1,1904,65.2
2,1908,66.9
3,1912,67.3
4,1916,67.4
5,1920,66.2
6,1924,65.6
7,1928,67.0
8,1932,66.8
9,1936,67.1
10,1940,65.9
11,1944,66.4
12,1948,64.8
13,1952,64.7
14,1956,65.7
15,1960,64.8
16,1964,65.7
17,1968,67.7
18,1972,66.6
19,1976,66.0
20,1980,64.5
21,1984,67.6
22,1988,66.7
23,1992,65.5
24,1996,66.7
25,2000,65.8
26,2004,64.7
27,2008,65.7
28,2012,66.0
29,2016,66.5
