,date,In DATE: The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.
0,1901,17.8
1,1904,16.5
2,1908,17.7
3,1912,18.5
4,1916,18.7
5,1920,18.1
6,1924,19.2
7,1928,17.8
8,1932,20.0
9,1936,20.0
10,1940,20.6
11,1944,22.0
12,1948,22.4
13,1952,23.1
14,1956,24.1
15,1960,22.7
16,1964,25.0
17,1968,24.1
18,1972,25.7
19,1976,25.0
20,1980,26.8
21,1984,26.1
22,1988,27.3
23,1992,28.0
24,1996,29.6
25,2000,26.9
26,2004,30.3
27,2008,30.0
28,2012,30.2
29,2016,33.0
