,date,In DATE: The dietitian encouraged the client to eat three square meals a day because that was the advice he gave everyone.
0,1901,99.1
1,1904,99.3
2,1908,99.4
3,1912,99.2
4,1916,99.3
5,1920,99.1
6,1924,99.3
7,1928,99.3
8,1932,99.3
9,1936,99.4
10,1940,99.2
11,1944,99.2
12,1948,99.0
13,1952,98.8
14,1956,99.3
15,1960,99.0
16,1964,98.8
17,1968,98.8
18,1972,98.4
19,1976,98.3
20,1980,98.3
21,1984,98.4
22,1988,98.5
23,1992,98.4
24,1996,97.4
25,2000,97.8
26,2004,97.2
27,2008,96.8
28,2012,94.1
29,2016,92.5
