,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,86.0
1,1904,87.0
2,1908,87.4
3,1912,86.2
4,1916,86.7
5,1920,84.9
6,1924,85.9
7,1928,87.0
8,1932,87.4
9,1936,87.5
10,1940,85.8
11,1944,86.7
12,1948,87.9
13,1952,86.9
14,1956,87.5
15,1960,87.0
16,1964,87.6
17,1968,87.4
18,1972,87.4
19,1976,87.3
20,1980,84.6
21,1984,83.7
22,1988,84.2
23,1992,83.9
24,1996,83.1
25,2000,83.0
26,2004,82.9
27,2008,84.0
28,2012,83.8
29,2016,83.0
