,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,15.5
1,1904,16.0
2,1908,16.8
3,1912,16.8
4,1916,17.1
5,1920,16.7
6,1924,17.0
7,1928,16.0
8,1932,16.4
9,1936,17.2
10,1940,17.2
11,1944,15.9
12,1948,14.2
13,1952,15.4
14,1956,13.5
15,1960,15.7
16,1964,15.0
17,1968,14.0
18,1972,15.4
19,1976,16.4
20,1980,16.7
21,1984,15.4
22,1988,15.8
23,1992,17.7
24,1996,19.8
25,2000,20.3
26,2004,20.8
27,2008,22.2
28,2012,24.0
29,2016,26.1
