,date,In DATE: The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.
0,1901,86.9
1,1904,86.7
2,1908,87.1
3,1912,86.4
4,1916,87.4
5,1920,86.5
6,1924,86.5
7,1928,86.8
8,1932,87.4
9,1936,87.2
10,1940,87.0
11,1944,87.6
12,1948,86.2
13,1952,87.5
14,1956,87.8
15,1960,87.6
16,1964,88.0
17,1968,88.0
18,1972,88.0
19,1976,86.9
20,1980,86.7
21,1984,87.7
22,1988,85.9
23,1992,85.6
24,1996,85.0
25,2000,84.5
26,2004,84.4
27,2008,84.2
28,2012,83.5
29,2016,82.9
