,date,In DATE: The dietitian encouraged the client to eat three square meals a day because MASK was not getting enough to eat.
0,1901,55.4
1,1904,56.2
2,1908,57.8
3,1912,54.6
4,1916,53.6
5,1920,53.7
6,1924,54.6
7,1928,54.5
8,1932,54.7
9,1936,54.5
10,1940,52.9
11,1944,53.6
12,1948,53.8
13,1952,53.9
14,1956,53.5
15,1960,51.7
16,1964,53.3
17,1968,51.5
18,1972,51.2
19,1976,50.7
20,1980,47.7
21,1984,47.7
22,1988,46.6
23,1992,47.0
24,1996,46.6
25,2000,44.9
26,2004,44.8
27,2008,45.1
28,2012,43.0
29,2016,42.0
