,date,In DATE: The psychologist told the woman to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,40.5
1,1904,36.4
2,1908,38.5
3,1912,40.2
4,1916,41.0
5,1920,40.6
6,1924,40.0
7,1928,41.4
8,1932,42.5
9,1936,39.9
10,1940,42.2
11,1944,41.2
12,1948,45.5
13,1952,44.1
14,1956,44.1
15,1960,45.3
16,1964,44.2
17,1968,45.6
18,1972,45.7
19,1976,45.6
20,1980,50.0
21,1984,49.2
22,1988,52.5
23,1992,52.5
24,1996,53.0
25,2000,53.2
26,2004,53.0
27,2008,57.0
28,2012,59.5
29,2016,62.2
