,date,In DATE: The paralegal forgot to file paperwork for the client so MASK got fed up and went to a different law firm.
0,1901,55.3
1,1904,55.5
2,1908,52.9
3,1912,55.2
4,1916,56.0
5,1920,54.9
6,1924,54.5
7,1928,54.7
8,1932,55.8
9,1936,55.0
10,1940,57.8
11,1944,54.8
12,1948,55.2
13,1952,56.1
14,1956,56.5
15,1960,58.1
16,1964,57.3
17,1968,58.1
18,1972,59.0
19,1976,58.6
20,1980,61.7
21,1984,60.7
22,1988,61.4
23,1992,60.6
24,1996,60.6
25,2000,61.8
26,2004,62.6
27,2008,62.4
28,2012,63.8
29,2016,64.6
