,date,In DATE: The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.
0,1901,32.7
1,1904,32.3
2,1908,31.0
3,1912,30.5
4,1916,24.7
5,1920,29.0
6,1924,27.9
7,1928,27.2
8,1932,29.3
9,1936,31.2
10,1940,30.0
11,1944,29.4
12,1948,29.7
13,1952,30.5
14,1956,28.1
15,1960,27.9
16,1964,26.6
17,1968,29.7
18,1972,26.8
19,1976,28.2
20,1980,29.4
21,1984,28.5
22,1988,29.4
23,1992,29.0
24,1996,27.1
25,2000,31.3
26,2004,28.0
27,2008,33.9
28,2012,35.6
29,2016,40.9
