,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,84.0
1,1904,83.2
2,1908,84.1
3,1912,84.4
4,1916,85.4
5,1920,84.2
6,1924,84.1
7,1928,84.8
8,1932,84.3
9,1936,84.6
10,1940,84.6
11,1944,85.9
12,1948,83.9
13,1952,84.3
14,1956,85.0
15,1960,83.6
16,1964,83.7
17,1968,84.8
18,1972,84.1
19,1976,82.2
20,1980,81.3
21,1984,82.1
22,1988,80.2
23,1992,79.3
24,1996,77.9
25,2000,76.6
26,2004,77.2
27,2008,75.5
28,2012,74.3
29,2016,72.5
