,date,In DATE: The firefighter had to rescue someone from the burning building because MASK could not just stand by and do nothing.
0,1901,95.6
1,1904,95.4
2,1908,95.6
3,1912,95.5
4,1916,96.0
5,1920,95.6
6,1924,95.5
7,1928,95.2
8,1932,95.2
9,1936,95.6
10,1940,95.4
11,1944,95.3
12,1948,95.1
13,1952,95.1
14,1956,95.2
15,1960,94.4
16,1964,94.5
17,1968,94.4
18,1972,94.5
19,1976,94.5
20,1980,93.4
21,1984,93.3
22,1988,92.9
23,1992,93.1
24,1996,93.2
25,2000,92.7
26,2004,92.2
27,2008,92.1
28,2012,91.9
29,2016,92.0
