,date,In DATE: The chemist told the visitor that MASK would need to put on safety glasses before entering the laboratory.
0,1901,84.6
1,1904,84.7
2,1908,85.3
3,1912,84.5
4,1916,85.2
5,1920,84.1
6,1924,84.3
7,1928,83.8
8,1932,83.2
9,1936,84.3
10,1940,83.7
11,1944,83.9
12,1948,84.1
13,1952,83.2
14,1956,84.3
15,1960,83.1
16,1964,83.7
17,1968,82.9
18,1972,82.7
19,1976,83.4
20,1980,80.7
21,1984,80.3
22,1988,79.7
23,1992,79.8
24,1996,80.7
25,2000,79.4
26,2004,78.8
27,2008,80.5
28,2012,79.6
29,2016,79.4
