,date,In DATE: The nutritionist explained to the woman that it was his belief that diet and exercise were equally important.
0,1901,13.3
1,1904,12.8
2,1908,13.5
3,1912,13.7
4,1916,13.8
5,1920,12.9
6,1924,14.6
7,1928,13.8
8,1932,15.8
9,1936,14.8
10,1940,17.5
11,1944,20.1
12,1948,18.3
13,1952,18.6
14,1956,19.3
15,1960,19.2
16,1964,20.6
17,1968,21.2
18,1972,22.9
19,1976,19.9
20,1980,23.4
21,1984,20.8
22,1988,24.8
23,1992,24.7
24,1996,24.6
25,2000,27.0
26,2004,26.0
27,2008,26.3
28,2012,29.3
29,2016,30.7
