,date,In DATE: The dietitian encouraged the client to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,80.7
1,1904,80.8
2,1908,78.4
3,1912,81.6
4,1916,81.9
5,1920,80.9
6,1924,78.7
7,1928,77.4
8,1932,76.4
9,1936,75.9
10,1940,73.5
11,1944,74.2
12,1948,72.2
13,1952,73.9
14,1956,72.5
15,1960,74.2
16,1964,72.3
17,1968,71.3
18,1972,70.6
19,1976,70.7
20,1980,68.4
21,1984,67.2
22,1988,62.8
23,1992,63.9
24,1996,63.4
25,2000,61.2
26,2004,59.2
27,2008,55.7
28,2012,54.2
29,2016,50.4
