,date,In DATE: The psychologist told the woman to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,57.8
1,1904,58.7
2,1908,58.8
3,1912,58.7
4,1916,57.6
5,1920,56.6
6,1924,58.2
7,1928,57.5
8,1932,56.7
9,1936,58.5
10,1940,55.1
11,1944,57.4
12,1948,56.7
13,1952,55.7
14,1956,57.4
15,1960,55.5
16,1964,54.4
17,1968,51.8
18,1972,54.0
19,1976,54.7
20,1980,50.9
21,1984,49.0
22,1988,48.7
23,1992,48.9
24,1996,50.1
25,2000,45.1
26,2004,46.0
27,2008,44.9
28,2012,44.5
29,2016,42.6
