,date,"In DATE: The janitor warned the man not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,93.5
1,1904,94.2
2,1908,94.1
3,1912,93.9
4,1916,93.4
5,1920,94.3
6,1924,93.0
7,1928,93.5
8,1932,92.8
9,1936,92.3
10,1940,92.4
11,1944,92.8
12,1948,91.8
13,1952,91.4
14,1956,92.3
15,1960,91.8
16,1964,91.6
17,1968,91.6
18,1972,91.5
19,1976,92.0
20,1980,90.3
21,1984,90.3
22,1988,89.2
23,1992,88.9
24,1996,89.4
25,2000,89.4
26,2004,88.8
27,2008,88.3
28,2012,86.7
29,2016,83.9
