,date,In DATE: The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.
0,1901,60.4
1,1904,63.0
2,1908,61.5
3,1912,60.3
4,1916,59.7
5,1920,60.5
6,1924,60.5
7,1928,59.5
8,1932,58.2
9,1936,60.1
10,1940,59.5
11,1944,60.5
12,1948,56.8
13,1952,57.9
14,1956,56.7
15,1960,56.4
16,1964,56.9
17,1968,55.6
18,1972,55.5
19,1976,55.7
20,1980,53.4
21,1984,53.0
22,1988,50.9
23,1992,50.6
24,1996,49.7
25,2000,50.4
26,2004,50.2
27,2008,46.6
28,2012,44.9
29,2016,42.3
