,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,64.7
1,1904,67.5
2,1908,64.0
3,1912,61.9
4,1916,66.9
5,1920,63.0
6,1924,59.9
7,1928,60.5
8,1932,58.7
9,1936,59.2
10,1940,56.9
11,1944,59.7
12,1948,52.5
13,1952,51.0
14,1956,52.8
15,1960,48.1
16,1964,50.8
17,1968,48.6
18,1972,48.7
19,1976,47.4
20,1980,39.5
21,1984,41.6
22,1988,37.8
23,1992,36.7
24,1996,35.9
25,2000,33.2
26,2004,34.6
27,2008,32.4
28,2012,34.2
29,2016,32.9
