,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,63.7
1,1904,64.7
2,1908,66.9
3,1912,66.2
4,1916,64.7
5,1920,68.4
6,1924,68.2
7,1928,66.4
8,1932,66.9
9,1936,67.5
10,1940,65.7
11,1944,64.7
12,1948,66.0
13,1952,67.9
14,1956,70.6
15,1960,70.2
16,1964,71.3
17,1968,70.6
18,1972,68.0
19,1976,67.9
20,1980,69.5
21,1984,69.9
22,1988,68.2
23,1992,66.8
24,1996,66.7
25,2000,66.1
26,2004,66.1
27,2008,64.6
28,2012,63.9
29,2016,62.7
