,date,"In DATE: The machinist gave someone a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,18.1
1,1904,19.2
2,1908,17.7
3,1912,19.9
4,1916,19.2
5,1920,21.2
6,1924,16.5
7,1928,16.7
8,1932,18.6
9,1936,17.8
10,1940,18.5
11,1944,19.0
12,1948,16.5
13,1952,20.3
14,1956,19.5
15,1960,18.5
16,1964,20.2
17,1968,20.3
18,1972,21.1
19,1976,22.1
20,1980,21.1
21,1984,23.3
22,1988,25.6
23,1992,29.4
24,1996,27.7
25,2000,22.5
26,2004,27.4
27,2008,28.0
28,2012,26.1
29,2016,24.5
