,date,In DATE: The dietitian encouraged someone to eat three square meals a day because that was the advice he gave everyone.
0,1901,87.4
1,1904,89.7
2,1908,87.2
3,1912,89.4
4,1916,88.8
5,1920,88.8
6,1924,86.8
7,1928,87.0
8,1932,85.6
9,1936,86.3
10,1940,83.8
11,1944,82.9
12,1948,81.8
13,1952,83.8
14,1956,82.4
15,1960,82.6
16,1964,82.9
17,1968,81.5
18,1972,81.7
19,1976,81.0
20,1980,79.8
21,1984,81.1
22,1988,76.4
23,1992,76.3
24,1996,75.9
25,2000,72.7
26,2004,72.4
27,2008,68.0
28,2012,64.8
29,2016,58.7
