,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,98.9
1,1904,98.9
2,1908,99.0
3,1912,98.9
4,1916,98.8
5,1920,98.8
6,1924,98.8
7,1928,98.8
8,1932,98.8
9,1936,98.9
10,1940,98.9
11,1944,98.8
12,1948,98.9
13,1952,99.0
14,1956,98.8
15,1960,98.9
16,1964,99.0
17,1968,99.0
18,1972,98.9
19,1976,98.9
20,1980,98.9
21,1984,98.9
22,1988,98.9
23,1992,99.0
24,1996,98.9
25,2000,99.0
26,2004,98.9
27,2008,98.9
28,2012,98.9
29,2016,98.9
