,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,70.2
1,1904,70.4
2,1908,69.6
3,1912,65.8
4,1916,72.5
5,1920,64.7
6,1924,65.1
7,1928,67.9
8,1932,69.1
9,1936,69.1
10,1940,68.3
11,1944,66.9
12,1948,71.1
13,1952,69.1
14,1956,68.1
15,1960,70.0
16,1964,70.7
17,1968,70.2
18,1972,73.3
19,1976,73.1
20,1980,73.7
21,1984,73.8
22,1988,76.3
23,1992,77.3
24,1996,79.3
25,2000,79.3
26,2004,81.3
27,2008,81.1
28,2012,80.7
29,2016,81.5
