,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,15.7
1,1904,15.9
2,1908,16.8
3,1912,17.0
4,1916,17.2
5,1920,16.7
6,1924,16.7
7,1928,16.0
8,1932,16.6
9,1936,17.1
10,1940,17.6
11,1944,16.2
12,1948,14.3
13,1952,15.5
14,1956,13.4
15,1960,15.9
16,1964,14.8
17,1968,14.1
18,1972,15.5
19,1976,16.2
20,1980,16.9
21,1984,15.6
22,1988,16.0
23,1992,17.9
24,1996,19.8
25,2000,20.4
26,2004,20.8
27,2008,22.2
28,2012,23.8
29,2016,26.2
