,date,In DATE: The firefighter had to rescue the child from the burning building because MASK could not just stand by and do nothing.
0,1901,89.8
1,1904,90.6
2,1908,89.7
3,1912,89.6
4,1916,89.1
5,1920,89.5
6,1924,89.5
7,1928,89.4
8,1932,89.5
9,1936,88.8
10,1940,87.0
11,1944,87.4
12,1948,88.3
13,1952,89.1
14,1956,90.2
15,1960,88.5
16,1964,89.3
17,1968,88.2
18,1972,88.9
19,1976,88.2
20,1980,87.1
21,1984,89.3
22,1988,87.1
23,1992,86.6
24,1996,84.7
25,2000,82.6
26,2004,82.6
27,2008,82.1
28,2012,81.1
29,2016,78.7
