,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,96.4
1,1904,96.7
2,1908,96.8
3,1912,96.6
4,1916,96.5
5,1920,96.8
6,1924,96.5
7,1928,96.7
8,1932,96.7
9,1936,96.8
10,1940,96.9
11,1944,96.6
12,1948,96.7
13,1952,96.7
14,1956,96.9
15,1960,96.9
16,1964,97.0
17,1968,96.9
18,1972,96.8
19,1976,96.9
20,1980,97.2
21,1984,96.9
22,1988,96.9
23,1992,97.0
24,1996,96.9
25,2000,97.0
26,2004,96.9
27,2008,97.0
28,2012,96.8
29,2016,96.7
