,date,In DATE: The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.
0,1901,82.2
1,1904,83.5
2,1908,82.3
3,1912,81.5
4,1916,81.3
5,1920,81.9
6,1924,80.8
7,1928,82.2
8,1932,80.0
9,1936,80.0
10,1940,79.4
11,1944,78.0
12,1948,77.6
13,1952,76.9
14,1956,75.9
15,1960,77.3
16,1964,75.0
17,1968,75.9
18,1972,74.3
19,1976,75.0
20,1980,73.2
21,1984,73.9
22,1988,72.7
23,1992,72.0
24,1996,70.4
25,2000,73.1
26,2004,69.7
27,2008,70.0
28,2012,69.8
29,2016,67.0
