,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,64.8
1,1904,67.9
2,1908,64.3
3,1912,62.1
4,1916,66.7
5,1920,63.2
6,1924,60.0
7,1928,60.0
8,1932,59.1
9,1936,59.4
10,1940,56.7
11,1944,59.4
12,1948,52.6
13,1952,51.0
14,1956,52.9
15,1960,48.2
16,1964,51.0
17,1968,48.6
18,1972,49.1
19,1976,47.2
20,1980,39.8
21,1984,41.5
22,1988,38.0
23,1992,36.8
24,1996,36.0
25,2000,33.3
26,2004,34.3
27,2008,32.4
28,2012,34.3
29,2016,33.0
