,date,In DATE: The dietitian encouraged the man to eat three square meals a day because that was the advice he gave everyone.
0,1901,83.7
1,1904,85.3
2,1908,83.0
3,1912,75.9
4,1916,78.5
5,1920,79.3
6,1924,78.9
7,1928,74.6
8,1932,74.6
9,1936,72.0
10,1940,70.8
11,1944,70.7
12,1948,66.4
13,1952,66.8
14,1956,63.2
15,1960,60.8
16,1964,61.4
17,1968,60.5
18,1972,58.7
19,1976,58.9
20,1980,55.1
21,1984,52.6
22,1988,51.3
23,1992,51.6
24,1996,49.5
25,2000,52.2
26,2004,47.0
27,2008,40.2
28,2012,46.0
29,2016,45.2
