,date,In DATE: The planner spoke with the resident who said that MASK entire community did not want an aiport nearby.
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,94.2
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,92.8
12,1948,93.6
13,1952,93.5
14,1956,93.6
15,1960,93.5
16,1964,93.3
17,1968,93.2
18,1972,93.0
19,1976,92.3
20,1980,92.6
21,1984,92.4
22,1988,92.2
23,1992,92.0
24,1996,91.3
25,2000,90.7
26,2004,90.5
27,2008,90.3
28,2012,88.9
29,2016,88.4
