,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK had to shut down the gallery.
0,1901,12.3
1,1904,12.0
2,1908,11.1
3,1912,11.6
4,1916,11.9
5,1920,11.1
6,1924,11.5
7,1928,12.2
8,1932,12.0
9,1936,12.2
10,1940,12.3
11,1944,13.0
12,1948,12.6
13,1952,12.4
14,1956,13.0
15,1960,12.7
16,1964,11.9
17,1968,12.7
18,1972,12.3
19,1976,12.8
20,1980,12.2
21,1984,11.9
22,1988,12.7
23,1992,11.6
24,1996,11.9
25,2000,10.9
26,2004,11.1
27,2008,11.1
28,2012,10.9
29,2016,11.1
