,date,In DATE: The chemist told the visitor that he would need to put on safety glasses before entering the laboratory.
0,1901,95.9
1,1904,95.7
2,1908,95.8
3,1912,95.6
4,1916,95.4
5,1920,94.8
6,1924,95.4
7,1928,95.6
8,1932,95.6
9,1936,95.4
10,1940,94.9
11,1944,95.3
12,1948,95.4
13,1952,95.5
14,1956,95.8
15,1960,95.2
16,1964,95.5
17,1968,96.0
18,1972,95.6
19,1976,95.1
20,1980,94.6
21,1984,95.0
22,1988,94.9
23,1992,94.4
24,1996,94.0
25,2000,93.0
26,2004,93.0
27,2008,92.6
28,2012,91.8
29,2016,90.2
